time,weekday,hour,volume
2017-08-01 01:00:00,1,1,2
2017-08-01 02:00:00,1,2,2
2017-08-01 03:00:00,1,3,2
2017-08-01 04:00:00,1,4,1
2017-08-01 05:00:00,1,5,2
2017-08-01 06:00:00,1,6,0
2017-08-01 07:00:00,1,7,0
2017-08-01 08:00:00,1,8,2
2017-08-01 09:00:00,1,9,0
2017-08-01 10:00:00,1,10,1
2017-08-01 11:00:00,1,11,3
2017-08-01 12:00:00,1,12,3
2017-08-01 13:00:00,1,13,6
2017-08-01 14:00:00,1,14,9
2017-08-01 15:00:00,1,15,8
2017-08-01 16:00:00,1,16,10
2017-08-01 17:00:00,1,17,10
2017-08-01 18:00:00,1,18,8
2017-08-01 19:00:00,1,19,6
2017-08-01 20:00:00,1,20,2
2017-08-01 21:00:00,1,21,2
2017-08-01 22:00:00,1,22,1
2017-08-01 23:00:00,1,23,0
2017-08-02 00:00:00,2,0,2
2017-08-02 01:00:00,2,1,0
2017-08-02 02:00:00,2,2,1
2017-08-02 03:00:00,2,3,0
2017-08-02 04:00:00,2,4,1
2017-08-02 05:00:00,2,5,0
2017-08-02 06:00:00,2,6,2
2017-08-02 07:00:00,2,7,2
2017-08-02 08:00:00,2,8,2
2017-08-02 09:00:00,2,9,0
2017-08-02 10:00:00,2,10,1
2017-08-02 11:00:00,2,11,4
2017-08-02 12:00:00,2,12,3
2017-08-02 13:00:00,2,13,7
2017-08-02 14:00:00,2,14,8
2017-08-02 15:00:00,2,15,9
2017-08-02 16:00:00,2,16,11
2017-08-02 17:00:00,2,17,8
2017-08-02 18:00:00,2,18,8
2017-08-02 19:00:00,2,19,7
2017-08-02 20:00:00,2,20,1
2017-08-02 21:00:00,2,21,2
2017-08-02 22:00:00,2,22,2
2017-08-02 23:00:00,2,23,0
2017-08-03 00:00:00,3,0,2
2017-08-03 01:00:00,3,1,2
2017-08-03 02:00:00,3,2,2
2017-08-03 03:00:00,3,3,1
2017-08-03 04:00:00,3,4,0
2017-08-03 05:00:00,3,5,2
2017-08-03 06:00:00,3,6,2
2017-08-03 07:00:00,3,7,0
2017-08-03 08:00:00,3,8,2
2017-08-03 09:00:00,3,9,1
2017-08-03 10:00:00,3,10,2
2017-08-03 11:00:00,3,11,4
2017-08-03 12:00:00,3,12,5
2017-08-03 13:00:00,3,13,6
2017-08-03 14:00:00,3,14,8
2017-08-03 15:00:00,3,15,9
2017-08-03 16:00:00,3,16,11
2017-08-03 17:00:00,3,17,9
2017-08-03 18:00:00,3,18,7
2017-08-03 19:00:00,3,19,8
2017-08-03 20:00:00,3,20,0
2017-08-03 21:00:00,3,21,2
2017-08-03 22:00:00,3,22,2
2017-08-03 23:00:00,3,23,0
2017-08-04 00:00:00,4,0,0
2017-08-04 01:00:00,4,1,1
2017-08-04 02:00:00,4,2,0
2017-08-04 03:00:00,4,3,0
2017-08-04 04:00:00,4,4,2
2017-08-04 05:00:00,4,5,0
2017-08-04 06:00:00,4,6,1
2017-08-04 07:00:00,4,7,1
2017-08-04 08:00:00,4,8,1
2017-08-04 09:00:00,4,9,0
2017-08-04 10:00:00,4,10,1
2017-08-04 11:00:00,4,11,3
2017-08-04 12:00:00,4,12,5
2017-08-04 13:00:00,4,13,6
2017-08-04 14:00:00,4,14,8
2017-08-04 15:00:00,4,15,9
2017-08-04 16:00:00,4,16,9
2017-08-04 17:00:00,4,17,9
2017-08-04 18:00:00,4,18,9
2017-08-04 19:00:00,4,19,8
2017-08-04 20:00:00,4,20,0
2017-08-04 21:00:00,4,21,1
2017-08-04 22:00:00,4,22,1
2017-08-04 23:00:00,4,23,0
2017-08-05 00:00:00,5,0,2
2017-08-05 01:00:00,5,1,0
2017-08-05 02:00:00,5,2,1
2017-08-05 03:00:00,5,3,1
2017-08-05 04:00:00,5,4,1
2017-08-05 05:00:00,5,5,2
2017-08-05 06:00:00,5,6,2
2017-08-05 07:00:00,5,7,0
2017-08-05 08:00:00,5,8,0
2017-08-05 09:00:00,5,9,1
2017-08-05 10:00:00,5,10,2
2017-08-05 11:00:00,5,11,3
2017-08-05 12:00:00,5,12,5
2017-08-05 13:00:00,5,13,7
2017-08-05 14:00:00,5,14,9
2017-08-05 15:00:00,5,15,9
2017-08-05 16:00:00,5,16,11
2017-08-05 17:00:00,5,17,10
2017-08-05 18:00:00,5,18,9
2017-08-05 19:00:00,5,19,6
2017-08-05 20:00:00,5,20,0
2017-08-05 21:00:00,5,21,2
2017-08-05 22:00:00,5,22,2
2017-08-05 23:00:00,5,23,0
2017-08-06 00:00:00,6,0,0
2017-08-06 01:00:00,6,1,0
2017-08-06 02:00:00,6,2,0
2017-08-06 03:00:00,6,3,2
2017-08-06 04:00:00,6,4,2
2017-08-06 05:00:00,6,5,1
2017-08-06 06:00:00,6,6,0
2017-08-06 07:00:00,6,7,0
2017-08-06 08:00:00,6,8,1
2017-08-06 09:00:00,6,9,0
2017-08-06 10:00:00,6,10,1
2017-08-06 11:00:00,6,11,2
2017-08-06 12:00:00,6,12,5
2017-08-06 13:00:00,6,13,6
2017-08-06 14:00:00,6,14,7
2017-08-06 15:00:00,6,15,8
